timestamp_local,kWh
2023-09-01,266.6135
2023-10-01,390.7355
2023-11-01,577.784
2023-12-01,624.1625
2024-01-01,859.2895
2024-02-01,582.6185
2024-03-01,546.7545
2024-04-01,377.963
2024-05-01,130.6985
2024-06-01,216.594
2024-07-01,277.9915
2024-08-01,264.416
2024-09-01,292.1275
2024-10-01,334.5875
2024-11-01,577.3285
2024-12-01,606.0685
2025-01-01,758.846
2025-02-01,576.1795
2025-03-01,460.2475
2025-04-01,337.9365
2025-05-01,301.925
2025-06-01,295.8785
2025-07-01,287.02
2025-08-01,276.022
2025-09-01,0.0
2025-10-01,0.0
2025-11-01,0.0
2025-12-01,0.0
